episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
28,5600,rician,0.24906683333333332,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,320.71062123316807,1.6035531061658403,8.230876148703857,8.615788812793744,3.275276185739616,,,65.50552371479233,6.624839504012997,0.04645199306309223,200,360.08677163518524,253.03567957315607,349.6253369367681,225.8517941336815,0,837.6874454469582,469.7931000149709,1059.323764518856,717.2904563965866,2.641199185949713,2.641199185949713,3.1695680464484353,3.1695680464484353,0.5283688604987224,0.5283688604987224
29,5800,rician,0.2490335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,129.4331367182123,0.6471656835910615,9.209363321560815,11.517955636635431,2.6770516952862398,,,53.5410339057248,6.632179686267217,0.04450539253652096,200,285.37216152842143,312.1639906748168,265.3692977425211,284.3335433098378,0,339.5135055317592,561.7888147474326,318.23661466522304,565.776009018736,2.534858474826894,2.534858474826894,3.152584723994566,3.152584723994566,0.617726249167672,0.617726249167672
30,6000,rician,0.24900016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,280.1508928369838,1.400754464184919,8.876232543236547,12.080457526371863,2.4832546615143354,,,49.66509323028671,6.650855260620777,0.033810616657137874,200,378.4351146382363,334.9470730713953,376.24815651282745,322.94150899237883,0,631.2257026690037,498.41586837858415,333.0728267078002,499.0494547337968,2.551635430226204,2.551635430226204,3.130273721911892,3.130273721911892,0.5786382916856878,0.5786382916856878
31,6200,rician,0.24896683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,75.77903930986571,0.3788951965493286,7.858641931574751,11.316305144475919,1.905859154516099,,,38.11718309032198,6.7122915324451835,0.045972035825252534,200,263.05611749462406,375.18868493557005,241.3032984128276,370.42492389092644,0,944.653742576131,659.4456902659318,287.8159386830072,825.9053925073674,2.461953061568672,2.461953061568672,3.09077647780235,3.09077647780235,0.6288234162336779,0.6288234162336779
32,6400,rician,0.2489335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,196.97668259856852,0.9848834129928425,8.201276608397944,11.381160046104295,2.299487925512166,,,45.98975851024333,6.66526515994968,0.03657500952482223,200,325.0797353959072,351.7025032517397,301.02025254871813,331.31037359432173,0,800.3540996926054,602.5372368596793,485.2708306780196,744.4519590071569,2.5765753066664767,2.5765753066664767,3.0660487105432814,3.0660487105432814,0.4894734038768047,0.4894734038768047
33,6600,rician,0.24890016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,670.6544245881478,3.353272122940739,8.238405731471001,7.383182666377577,4.115286626953031,,,82.30573253906064,6.595034219701395,0.05108788095414638,200,371.26203698172236,361.6948517022615,366.4298622745445,356.6753544318141,0,636.4329900511732,138.69161875169115,964.8953776382107,231.76819277413696,2.679882819480312,2.679882819480312,3.097843798919335,3.097843798919335,0.41796097943902266,0.41796097943902266
34,6800,rician,0.24886683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,466.3588767547865,2.3317943837739326,7.602284133701287,7.1976857636942695,3.7327452868637865,,,74.65490573727574,6.62895459229677,0.04717428900301456,200,306.34126167146763,367.0620344069128,277.8378592122075,359.2098293311798,0,1005.6586227675222,503.4624040239194,938.4389659953981,645.8264921705944,2.6553326303277975,2.6553326303277975,3.1165173720941715,3.1165173720941715,0.4611847417663739,0.4611847417663739
35,7000,rician,0.2488335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,202.9222968584212,1.014611484292106,7.87050518238072,10.68196750779585,2.5986556716742455,,,51.97311343348491,6.373595817976389,0.01632071428000927,200,276.241486690476,350.8588668424614,250.95120834356405,337.48407309902785,0,860.2021241092107,508.24954638271385,761.4728227572367,91.15852740542834,2.6619492377287215,2.6619492377287215,3.1017213235107453,3.1017213235107453,0.43977208578202376,0.43977208578202376
36,7200,rician,0.24880016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,634.1497608382896,3.170748804191448,8.836216681392088,8.061515783709572,3.8969871267306186,,,77.93974253461238,6.301751697676635,0.061031645685434344,200,353.26622949290027,353.3490793999524,345.25218735088635,344.5988968244853,0,484.0237129392909,254.57869828806602,654.6378932155585,729.1352339570915,2.761989111481837,2.761989111481837,3.123812040266853,3.123812040266853,0.3618229287850161,0.3618229287850161
37,7400,rician,0.24876683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,362.78130613645834,1.8139065306822917,9.37955935010481,9.348562931469399,3.3060687027451072,,,66.12137405490213,6.707722787473771,0.047933416217565535,200,376.08065619729365,331.7217218180544,365.1879633975858,312.16669101975515,0,227.53537134027974,688.5943768817295,589.4211479466602,1015.9711924397773,2.7646016462472325,2.7646016462472325,3.1287378960095085,3.1287378960095085,0.364136249762276,0.364136249762276
38,7600,rician,0.2487335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,424.50249488612104,2.1225124744306054,8.308387475732182,10.138019945281277,2.905053628659791,,,58.101072573195815,6.691806671137879,0.04540280506014824,200,367.2654208805678,376.31731031309494,355.23432375734075,370.79506682906714,0,582.8873590645039,198.67503638250184,327.0736472015036,344.0951930610788,2.771494854021853,2.771494854021853,3.122851467921358,3.122851467921358,0.351356613899505,0.351356613899505
39,7800,rician,0.24870016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,78.79496641405399,0.39397483207026995,8.19524201008425,10.308994975854583,2.2549230697616545,,,45.09846139523309,6.76453373986624,0.04883139707148075,200,350.62004437049336,202.97147724520823,327.508295307179,190.4367248202132,0,771.2884794744137,530.1673824786972,361.10545225880554,890.5242920977415,2.7250161581261034,2.7250161581261034,3.1005968936095707,3.1005968936095707,0.37558073548346727,0.37558073548346727
40,8000,rician,0.24866683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,370.76821613592784,1.8538410806796393,7.92602430797229,8.994909131522693,2.6931426259985156,,,53.86285251997031,6.6499755459712295,0.037120452299714085,200,372.1014667743584,366.0736381524673,370.11538467067237,360.8204336588018,0,661.9786997184751,220.04613646343347,937.4016131985843,1030.505439601665,2.7574566902579742,2.7574566902579742,3.0904105369192942,3.0904105369192942,0.33295384666132,0.33295384666132
41,8200,rician,0.2486335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,223.16741013707323,1.115837050685366,8.17404354715963,12.269193135531669,1.9768585846944466,,,39.53717169388893,6.6494249157867635,0.03907729476690292,200,369.38670302466164,368.67469001214175,360.68148147438023,356.1576229944082,0,553.3184681545521,233.97605411083532,317.77418460529213,760.5680163291927,2.712376161144078,2.712376161144078,3.063250733206493,3.063250733206493,0.3508745720624149,0.3508745720624149
42,8400,rician,0.24860016666666668,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,369.20144006230134,1.8460072003115067,8.384980121735927,8.735085632751334,3.356710772495278,,,67.13421544990555,6.473206034069957,0.039110048487782476,200,158.93483488905613,366.7372656648686,150.0638588439586,359.0098969713904,0,566.0742427625522,708.8723439378913,896.333550453221,629.4947175801065,2.7802700698603764,2.7802700698603764,3.0702378769990832,3.0702378769990832,0.28996780713870685,0.28996780713870685
43,8600,rician,0.24856683333333332,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,-193.72857022751722,-0.9686428511375861,8.196850785271405,11.615931104500296,1.744138232983588,,,34.882764659671764,6.73090470263847,0.05043708354234695,200,292.75089611820846,296.06446416033225,286.60731478830417,293.6709301902636,0,670.3686703974687,527.140377908632,329.7314741068792,964.9291669896479,2.7669375188657748,2.7669375188657748,3.039398350394072,3.039398350394072,0.27246083152829703,0.27246083152829703
44,8800,rician,0.2485335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,531.167942906285,2.655839714531425,8.952597749141843,9.008163421954203,3.5531823575860666,,,71.06364715172134,6.562319344005219,0.07132973410189151,200,358.8527179192493,368.04831495911264,354.3657584195245,359.50755061797634,0,496.8109852699887,260.7696178135874,373.89332699234654,738.4768814215965,2.7896557571565648,2.7896557571565648,3.051075259648435,3.051075259648435,0.2614195024918704,0.2614195024918704
45,9000,rician,0.24850016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,782.2769235577894,3.9113846177889466,8.929361940951473,6.887480577779825,4.769361884858737,,,95.38723769717475,6.576692568279371,0.059925109595060345,200,358.9974469489974,372.62175936876724,353.8557000672661,366.8159473889741,0,567.6301854260531,372.89189493003494,784.1634284880123,629.6200402603505,2.823522540035962,2.823522540035962,3.089259406875331,3.089259406875331,0.26573686683936915,0.26573686683936915
46,9200,rician,0.24846683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,-8.351896822568992,-0.04175948411284496,9.079475479679942,12.961330957397855,1.6918590111017664,,,33.837180222035336,6.739503282816597,0.04991844706237316,200,370.66689593996915,291.472903008307,365.8468291998883,286.73055081182616,0,518.8861826967102,274.77945380450166,205.20540386734802,891.1661219186756,2.8259123677190887,2.8259123677190887,3.0588811374019924,3.0588811374019924,0.2329687696829037,0.2329687696829037
47,9400,rician,0.2484335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,886.786334332802,4.43393167166401,9.309573244315226,6.448626008325067,5.214906368532773,,,104.29812737065548,6.697353933102208,0.07005320481956005,200,374.8009640000087,368.30377035830304,372.0136960623438,360.64504311758986,0,471.7147370170664,162.40948943721028,610.6134024043723,617.3174785382323,3.0225404787103933,3.0225404787103933,3.1047540146600943,3.1047540146600943,0.08221353594970093,0.08221353594970093
48,9600,rician,0.24840016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,264.73331069920823,1.3236665534960412,8.471274259448414,10.063193524906291,2.7356151832930204,,,54.712303665860404,6.608808996565168,0.0581162990629673,200,293.8628546869981,378.73224846229346,269.2765182949406,375.8046312015297,0,689.3661348225851,612.032812128555,205.18739321404163,470.54344079081346,2.9955574285880635,2.9955574285880635,3.0970636223399466,3.0970636223399466,0.10150619375188308,0.10150619375188308
49,9800,rician,0.24836683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,181.74687577723336,0.9087343788861668,8.823512705331046,12.747542138575696,1.8059433559158278,,,36.11886711831655,6.647065243308365,0.02677737094461918,200,366.0327704788083,373.7575855301476,360.16241086380734,365.96835764713705,0,629.3518296027532,626.9702625596706,542.7677548844662,573.1134958111019,2.952002011619543,2.952002011619543,3.070714229147617,3.070714229147617,0.11871221752807415,0.11871221752807415
50,10000,rician,0.2483335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,463.68667903883426,2.3184333951941714,8.733540711733603,10.741902948298396,3.178742473785883,0.0006404927560480945,0.0006404927560480945,63.57484947571766,6.55312352993946,0.03444663889706135,200,359.90995708848214,370.42884336654805,351.94970320635997,360.66814496958057,0,344.3433229049993,169.31899533056497,451.1433618296551,70.77572593639371,2.98677640223312,2.98677640223312,3.0728747940403824,3.0728747940403824,0.08609839180726242,0.08609839180726242
51,10200,rician,0.24830016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,730.6968022264716,3.653484011132358,9.703658118269253,8.260974656985017,4.4300142886476594,,0.0006404927560480945,88.6002857729532,6.7371771788284915,0.058413159400224686,200,372.6484212378696,375.1535273294478,367.17499878007146,372.37620101484345,0,352.47905424665504,251.13159226275698,997.776968277589,578.7883115658564,3.1129841589396983,3.1129841589396983,3.099485372366016,3.099485372366016,0.01349878657368242,0.01349878657368242
52,10400,rician,0.24826683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,74.72894755901967,0.3736447377950984,8.19388786342702,12.138088846419375,1.5276892718382191,,0.0006404927560480945,30.553785436764386,6.647703258914821,0.08376695916056633,200,378.96731688945107,334.9921558309013,376.4817521355366,315.8358583886877,0,580.5187946177293,511.54735205015675,66.79784961688765,501.07345224641057,3.074394226256001,3.074394226256001,3.069258524278943,3.069258524278943,0.005135701977057927,0.005135701977057927
53,10600,rician,0.2482335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,427.5252604396027,2.1376263021980133,7.966336131744976,10.320707566786028,3.2241150580552542,,0.0006404927560480945,64.48230116110508,6.642519090486427,0.04766585700213909,200,334.2420792480489,370.07858834975866,319.0156329902206,363.0989918608079,0,869.2059733009592,502.49966953567247,147.74908628760173,290.23550662057266,3.0298356478111117,3.0298356478111117,3.0721803456709487,3.0721803456709487,0.042344697859836966,0.042344697859836966
54,10800,rician,0.24820016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,494.66620878846237,2.473331043942312,9.925739195445646,10.315236729173467,3.234544066110506,,0.0006404927560480945,64.69088132221013,6.6166458713661855,0.03691121153533459,200,376.592205162407,358.11915494068876,373.22339951239707,355.94746518128215,0,262.33556201457884,161.5873406754554,659.004061088886,894.3132948219987,3.004925586773448,3.004925586773448,3.0751870812346445,3.0751870812346445,0.07026149446119634,0.07026149446119634
55,11000,rician,0.24816683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,203.35548105913577,1.0167774052956788,9.228468267856208,9.18482607249268,3.093551360672861,,0.0006404927560480945,61.87102721345722,6.800592697514888,0.07635054253041744,200,297.90927389394506,360.4691003180039,295.3287726536628,344.42884072900495,0,131.91407784578666,506.06769031186457,252.5765171809778,812.8382977775915,3.029670371223379,3.029670371223379,3.07552097722443,3.07552097722443,0.04585060600105084,0.04585060600105084
56,11200,rician,0.2481335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,31.538336157483336,0.1576916807874167,7.971055461359928,11.764829216166852,1.6416009220569683,,0.0006404927560480945,32.83201844113937,6.640945052113603,0.043473219722509386,200,368.1568516122086,276.5559053269942,359.36575382697305,258.4955532578959,0,989.0790756312585,435.86293715539335,291.0509917647551,862.800907957796,2.916901060989696,2.916901060989696,3.0499152619535823,3.0499152619535823,0.13301420096388616,0.13301420096388616
