update,agent,pre_tanh_mean,pre_tanh_std,pre_tanh_max,weight_g,weight_v_norm
30,uav_trajectory,0.8033000819012522,0.9967803777513535,3.4403505325317383,0.019530225545167923,0.2530502676963806
31,uav_trajectory,0.8082494998909533,1.0192080988006718,3.591010570526123,0.01986781321465969,0.25796064734458923
32,uav_trajectory,0.8501474411164721,1.0606659381121124,3.4794235229492188,0.02026166208088398,0.26116442680358887
33,uav_trajectory,0.815798569103082,1.0078057825974427,3.044847249984741,0.020675955340266228,0.2645111083984375
34,uav_trajectory,0.7888712496161461,0.9913231441960112,4.33793830871582,0.021104302257299423,0.27080297470092773
35,uav_trajectory,0.8143915446897347,1.0064974941454072,3.2864208221435547,0.021608952432870865,0.2763878107070923
36,uav_trajectory,0.8288766860837737,1.0256300324137062,3.4921960830688477,0.02209213189780712,0.28063613176345825
37,uav_trajectory,0.8160544518108169,1.0248385281421217,3.9632108211517334,0.022408900782465935,0.2828114926815033
38,uav_trajectory,0.8261244157329202,1.0389701696999405,3.8051559925079346,0.022737499326467514,0.2848430275917053
39,uav_trajectory,0.7801490620573361,0.9815298555125153,3.1347670555114746,0.023083191365003586,0.2877779006958008
40,uav_trajectory,0.7786513201644023,0.9871728508979126,3.0493714809417725,0.023492801934480667,0.29283785820007324
41,uav_trajectory,0.823189718876034,1.0200669994561875,3.189793825149536,0.02389064058661461,0.2966005504131317
42,uav_trajectory,0.8096729402840137,1.0101621433435966,2.844548463821411,0.02408467046916485,0.299858957529068
43,uav_trajectory,0.8468179896399379,1.0583281381721674,5.052083969116211,0.02415386028587818,0.3041737675666809
44,uav_trajectory,0.7962982705210646,1.0049101146500374,3.222773790359497,0.02416195347905159,0.30681371688842773
45,uav_trajectory,0.7708052193212013,0.9810748160113207,3.64328670501709,0.024208979681134224,0.30784836411476135
46,uav_trajectory,0.8459132214287917,1.0341251466092065,3.828115224838257,0.024288423359394073,0.3087029457092285
47,uav_trajectory,0.8263359838140507,1.030290547759955,3.445781946182251,0.02454262226819992,0.3138890862464905
48,uav_trajectory,0.8238487956722578,1.0193521399485155,3.6382241249084473,0.024659274145960808,0.32009729743003845
49,uav_trajectory,0.8361303487072388,1.038195200299456,3.932605504989624,0.024717748165130615,0.32818305492401123
50,uav_trajectory,0.8378203097370763,1.0283008920184633,3.50404691696167,0.024823810905218124,0.3330213129520416
51,uav_trajectory,0.8305092656230554,1.043149045656036,3.4876129627227783,0.024877676740288734,0.33595243096351624
52,uav_trajectory,0.8314121350174148,1.03724700287259,3.572718620300293,0.025193793699145317,0.33979830145835876
53,uav_trajectory,0.8216018581539393,1.0304519434035155,3.179259777069092,0.025508202612400055,0.34443148970603943
54,uav_trajectory,0.8185513089795907,1.0091919785155594,2.9056074619293213,0.025925343856215477,0.34988194704055786
55,uav_trajectory,0.8152018174442153,1.0189700376646913,2.97062611579895,0.026321841403841972,0.35572105646133423
56,uav_trajectory,0.7778619337926308,0.9898078587041416,3.521486520767212,0.02663349360227585,0.3589579463005066
57,uav_trajectory,0.8133158127168815,1.0174800490639024,2.9686150550842285,0.02700071595609188,0.361691951751709
58,uav_trajectory,0.8421429392099381,1.057610322979261,3.771129608154297,0.027433285489678383,0.3654516935348511
59,uav_trajectory,0.8301546951942146,1.0343505266021007,3.24630069732666,0.027693049982190132,0.37018004059791565
60,uav_trajectory,0.791466898581634,0.9943875658984485,3.9076309204101562,0.02790411189198494,0.3756280243396759
61,uav_trajectory,0.8186475593609115,1.017083390781533,3.2581138610839844,0.02834934927523136,0.38260704278945923
62,uav_trajectory,0.8192518578097224,0.9933811094776768,2.9379003047943115,0.02888801321387291,0.389784038066864
63,uav_trajectory,0.8714092259034515,1.068971372527765,3.5929369926452637,0.02919965423643589,0.39415276050567627
64,uav_trajectory,0.8122131248352428,1.001468396931053,3.3882334232330322,0.029306503012776375,0.39665526151657104
65,uav_trajectory,0.820947456235687,1.015795985393827,4.172295570373535,0.02952086739242077,0.39904358983039856
66,uav_trajectory,0.8231202025090655,1.0421291075259351,3.7358639240264893,0.029870029538869858,0.40230098366737366
67,uav_trajectory,0.8634125217000643,1.0619688192215635,3.3404903411865234,0.03014076128602028,0.4053206145763397
68,uav_trajectory,0.8359423702446123,1.030507527585355,3.242598533630371,0.03031260520219803,0.40803834795951843
69,uav_trajectory,0.8380341111247738,1.019192616684784,3.467135190963745,0.030451683327555656,0.40982145071029663
70,uav_trajectory,0.8091996088474989,1.0159684706636247,3.2165687084198,0.030827302485704422,0.4110965430736542
71,uav_trajectory,0.8145582554613551,1.0050505639493579,2.9539785385131836,0.03121746890246868,0.4122094213962555
72,uav_trajectory,0.8120192413727443,1.011268187556058,3.126410722732544,0.03141605854034424,0.4136096239089966
73,uav_trajectory,0.8194056767498453,1.0371950318406506,3.740464925765991,0.031871307641267776,0.41645947098731995
74,uav_trajectory,0.8347999961773555,1.0275797781136122,3.3235301971435547,0.03217678889632225,0.41952839493751526
75,uav_trajectory,0.8666586948086819,1.0626146881811647,3.7934935092926025,0.03240789845585823,0.421793669462204
76,uav_trajectory,0.8231082830006877,1.015607030467067,3.152456521987915,0.032926518470048904,0.424079567193985
77,uav_trajectory,0.8568180355640749,1.0467626138150596,3.1720902919769287,0.03352469950914383,0.42729002237319946
78,uav_trajectory,0.8536452342520158,1.0428313126518387,3.272366523742676,0.0342983640730381,0.42928022146224976
79,uav_trajectory,0.840970374815166,1.0404651997918222,3.244616985321045,0.03503686189651489,0.43212321400642395
80,uav_trajectory,0.868443662998577,1.0685164031461407,2.925668239593506,0.03552331030368805,0.4351533353328705
81,uav_trajectory,0.8328365233391524,1.0375974281445495,3.3839640617370605,0.035894498229026794,0.43967264890670776
82,uav_trajectory,0.86040682729582,1.0390854169443076,3.374594211578369,0.03623592481017113,0.44285181164741516
83,uav_trajectory,0.8611704724226147,1.0429642055885069,3.483534574508667,0.036880746483802795,0.44607609510421753
84,uav_trajectory,0.8314579294050733,1.023739191147184,3.4055280685424805,0.037496279925107956,0.45021528005599976
85,uav_trajectory,0.8459779983311891,1.0600791268714957,3.945488691329956,0.03782441094517708,0.45312002301216125
86,uav_trajectory,0.9130522752131025,1.1223525490356143,3.7821145057678223,0.03807989880442619,0.4551410377025604
87,uav_trajectory,0.870907836223642,1.0594827277610575,4.075905799865723,0.038460321724414825,0.45664671063423157
88,uav_trajectory,0.8744860060711702,1.0850641105983838,4.283984661102295,0.03879590705037117,0.4572824239730835
89,uav_trajectory,0.8519581555500626,1.0603535205775694,3.351764440536499,0.03900944069027901,0.4580077528953552
90,uav_trajectory,0.8696714452207088,1.0733248233586938,3.688793420791626,0.03925853222608566,0.4587642252445221
91,uav_trajectory,0.871096311310927,1.0804723863225116,3.7994184494018555,0.03951076418161392,0.4605647921562195
92,uav_trajectory,0.8650020630856355,1.0526718358275582,4.333721160888672,0.04008509963750839,0.461275190114975
93,uav_trajectory,0.8922688673138619,1.0800418346215732,4.529628753662109,0.04075515642762184,0.46400922536849976
94,uav_trajectory,0.86842944770058,1.077869122859823,4.056157112121582,0.041162971407175064,0.465628981590271
95,uav_trajectory,0.8392880239834388,1.027512400382532,3.111809253692627,0.0414571613073349,0.46810251474380493
1,jammer_beamformer,0.79725800734186,0.9978221348672666,3.734333038330078,0.009999999776482582,0.06324554979801178
2,jammer_beamformer,0.8194606583248824,1.0351858036167407,4.176150321960449,0.0107455775141716,0.09395793825387955
3,jammer_beamformer,0.80113683474157,1.0046408218968421,3.57112979888916,0.011196747422218323,0.12435073405504227
4,jammer_beamformer,0.801372077319771,1.0001364027952477,3.5849475860595703,0.011501656845211983,0.14371484518051147
5,jammer_beamformer,0.7782397629693151,0.9713360656206508,3.5201098918914795,0.011706224642693996,0.16157612204551697
6,jammer_beamformer,0.8119867595126853,1.0102637588358574,3.723893404006958,0.011833167634904385,0.17537212371826172
7,jammer_beamformer,0.8149244279102422,1.02045721524946,4.030598163604736,0.012057057581841946,0.1864631175994873
