episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction,assr,pd_combined,combined_utility,crb_feasible
12,3.4473925362885502,15.641861291242236,15.641861291242236,0.0,0.09146876922382675,0.5854464440819075,49.48882936370213,1.4865996590540254,0.7139415072234255,0.6369081451601708,1.0,0.07131605204790255,0.3384576066528671,0.20488682935038482,1.0
13,3.6927238904684074,16.118782829115588,16.118782829115588,0.0,0.09148317962374411,0.6341152487319033,9.012798533113706,1.340061840719197,0.7906635652309186,0.6243648007670985,1.0,0.07349048388721216,0.3627992141778237,0.2181448490325179,1.0
14,5.368160253957987,4.6794375264264945,4.6794375264264945,0.0,0.24743800561472482,0.822435595457892,3.1666755448419495,1.1805805335181638,0.8684275601007101,0.6488995835061193,1.0,0.021334993577547392,0.5349368005363084,0.2781358970569279,1.0
15,6.217011533188585,3.674234109847938,3.674234109847938,0.0,0.4122269528209358,0.828224267477955,1.2727018541975301,1.0430227866873443,0.9159529329248214,0.6367996481928117,1.0,0.01675196232310308,0.6202256101494454,0.31848878623627425,1.0
16,6.827992576649068,9.393784817734279,9.393784817734279,0.0,0.558017149984041,0.8000364269404642,1.237301464352297,0.8225670097887591,0.9141627767002827,0.6160369794106322,1.0,0.0428291515002388,0.6790267884622525,0.36092796998124566,1.0
17,6.5266361674908415,13.907157210927682,13.90691300711363,0.0002442038140512769,0.5358774344349753,0.7582797918099609,0.8543375933387793,0.8045593952795504,0.9457795344577187,0.5948250636438719,1.0,0.06340700310698864,0.6470786131224681,0.35524280811472836,1.0
18,7.30721406804986,9.427907730233802,9.427907730233802,0.0,0.7410973424306044,0.7127731257940169,0.42027960855675317,0.8661742163261659,0.969480093110261,0.5877199862465963,1.0,0.04298472834359084,0.7269352341123106,0.3849599812279507,1.0
19,7.036019591558259,9.950726607380034,9.759786810122801,0.19093979725723398,0.7284698030302705,0.670741850097809,0.5189711865036932,0.7387409321836949,0.9675121506709681,0.5708152307952394,1.0,0.04536842025595056,0.6996058265640397,0.3724871234099951,1.0
20,6.792069167473092,4.38730865882045,4.318945774250953,0.06836288456949713,0.696878627102487,0.6580113899285707,0.5940038160862529,0.6700389494267667,0.9715942578103892,0.575654766247873,1.0,0.020003088304959914,0.6774450085155288,0.34872404841024435,1.0
21,7.702573306558207,6.854383521180128,4.979805961487096,1.8745775596930323,0.8490592007524354,0.6859501288449825,0.2358112193601508,0.7231752868941712,0.9524423041611861,0.5693237429152298,1.0,0.03125124068364284,0.7675046647987089,0.3993779527411759,1.0
22,7.125112912811102,22.16199281164392,21.982903922822295,0.17908888882162294,0.6951172231044822,0.712105199676872,0.47643508314978034,0.5810546623206297,0.971137356537974,0.5600439852313044,1.0,0.10104333515125553,0.7036112113906772,0.40232727327096635,1.0
23,6.374214601762134,10.15834196323908,10.097567213772622,0.06077474946645807,0.6214496680038517,0.6452342338166617,0.8430106427709789,0.6002026447046774,0.9582565271370251,0.5699391089153332,1.0,0.04631500245922566,0.6333419509102567,0.3398284766847412,1.0
24,6.928139604831492,4.9825446267653355,3.6867831056535634,1.295761521111772,0.6553642909781571,0.726261729471996,0.6291275835622352,0.6970925489686779,0.9737444804150422,0.5636868334387792,1.0,0.022716951986548016,0.6908130102250765,0.35676498110581223,1.0
25,6.944277850735497,19.17975937607992,9.274542338246068,9.905217037833848,0.8198110044171747,0.5536396883637785,1.117519308040141,0.6386408204363396,0.9745254578297123,0.5719745886160759,1.0,0.08744641653973736,0.6867253463904766,0.387085881465107,1.0
26,6.434403044258648,24.650837891613342,10.665001943794868,13.985835947818472,0.8107586679371244,0.45632278039089974,0.44686286944982445,0.7357493059319783,0.9850169119209593,0.569318225787577,1.0,0.11239074464155983,0.6335407241640121,0.37296573440278596,1.0
