episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction,assr,pd_combined,combined_utility,crb_feasible
11,4.400431669925741,8.447751902337407,8.447751902337407,0.0,0.34923119892428656,0.49853730074732905,1.239227699926786,1.4678359880360072,0.3985935206535427,0.8353819689018079,1.0,0.03734179056133294,0.4238842498358078,0.23061302019857038,1.0
12,5.226055421875421,72.08594050399182,72.08594050399182,0.0,0.2924672247249619,0.6208327259026577,6.848901586288656,1.5050591498568975,0.5267977605706884,0.8106380451717149,1.0,0.3186431282353322,0.4566499753138098,0.38764655177457097,1.0
13,4.358088651118971,16.262454829584247,16.262454829584247,0.0,0.26943518738532096,0.5758581507752238,2.1121495784216493,1.3004572833475332,0.6352949805811857,0.7706210704929778,1.0,0.07188530028816863,0.4226466690802724,0.2472659846842205,1.0
14,4.989187998523594,67.09016000286667,67.09016000286667,0.0,0.27319293750990586,0.6160443497568201,17.751782129748264,1.2124757505569133,0.710186542632091,0.7639046922269934,1.0,0.2965601656530871,0.444618643633363,0.3705894046432251,1.0
15,5.6252368253296865,64.90890210232818,64.90890210232818,0.0,0.37954413152598243,0.6404337710730483,1.545918457022553,1.122954918390052,0.7923991643037722,0.7509772067578816,1.0,0.28691830156619036,0.5099889512995154,0.39845362643285287,1.0
16,6.387037494239914,57.2107580556365,57.2107580556365,0.0,0.4645606275881959,0.7202385632845032,2.0420761723155554,1.4406994310283499,0.8580657511022158,0.7544766769114319,1.0,0.25289001971963243,0.5923995954363496,0.422644807577991,1.0
17,6.423795788050234,90.07592140402966,90.07592140402966,0.0,0.41529905000368883,0.7236522394003536,3.3131274139675497,1.4344305917799813,0.8348994937992679,0.7507993866677001,1.0,0.3981646514450418,0.5694756447020213,0.4838201480735316,1.0
18,7.4142621134746705,104.20812760880055,104.20812760880055,0.0,0.552614250449043,0.7615541921151174,0.9648855215265166,1.913726541420195,0.8808079942907753,0.734990185226031,1.0,0.46063356511213344,0.6570842212820802,0.5588588931971068,1.0
19,8.80312216888507,220.9248890356253,220.9248890356253,0.0,0.5644874500037574,0.8385210237938402,2.3440923336924477,2.4080687119189115,0.870265034017167,0.7211774658711276,1.0,0.9765593298107422,0.7015042368987988,0.8390317833547705,1.0
20,8.699181105529666,216.94687335727394,213.27668706363607,3.670186293637844,0.5660906843278206,0.8225688779649731,1.0835046395118695,2.8230262401767083,0.8764533617499429,0.7119406618816668,1.0,0.958975216305989,0.6943297811463969,0.826652498726193,1.0
21,9.146223572502437,150.72282215923985,150.72282215923985,0.0,0.7635191437072335,0.8217472351128785,0.9603634018411867,3.2590894413837765,0.8742487570616284,0.6964111838131031,1.0,0.666243531172605,0.792633189410056,0.7294383602913306,1.0
22,8.50226295048603,69.79022074816203,56.19751822731864,13.592702520843392,0.7915564657717377,0.7959251643807749,0.7370703686252468,3.615843223920301,0.9178693991117093,0.6941162446895588,1.0,0.30849530579679785,0.7937408150762563,0.5511180604365271,1.0
23,8.689256239212876,110.73498880487413,110.73498880487413,0.0,0.8194366601556246,0.7391654342863158,0.297293453772152,4.078459915822728,0.9410481341474606,0.6823294851187577,1.0,0.48948439863853405,0.7793010472209702,0.6343927229297521,1.0
24,8.012833659088615,49.30877384791198,49.17549981256294,0.13327403534904647,0.7933261316774277,0.7294234071929429,0.48466810783254716,4.125512917043623,0.9440510900510939,0.6638171555529772,1.0,0.21796069855642863,0.7613747694351853,0.489667733995807,1.0
25,8.391813050841218,105.77905701886543,102.79464960210457,2.984407416760864,0.7425902002496292,0.7645455319210931,0.6623451780363742,4.355945170237737,0.9344335961061898,0.6346806799615341,1.0,0.46757758024130053,0.7535678660853611,0.6105727231633308,1.0
26,8.331165912978676,37.786621300093536,34.04192700673685,3.744694293356692,0.8561996090422784,0.7488675414707944,0.2885183689576724,4.313073478904658,0.9036995783268458,0.6161741491001903,1.0,0.16702906464595393,0.8025335752565363,0.4847813199512451,1.0
