mode,alpha,secrecy_rate,sensing_utility,objective
exponential,0.35000000000000003,2.569483715263176,3.981580507003421,0.6791111876422922
exponential,0.4,2.958212865675254,3.9810057305482633,0.6368746307700603
exponential,0.45,4.397298320939535,3.9801587097608953,0.6092300170079988
exponential,0.5,8.461788818837306,3.9789600489835095,0.6231798571565612
exponential,0.55,11.165853266305959,3.9772728276678713,0.6273391594822915
exponential,0.6000000000000001,12.442534781053984,3.974872224864847,0.614725492062292
exponential,0.65,13.735833227203763,3.9714115272678563,0.6060350186752439
exponential,0.7000000000000001,15.213982132391298,3.966434855699566,0.6047092430162205
exponential,0.75,16.92521309183691,3.959636769625916,0.6126120485683039
exponential,0.8,18.863716670416608,3.951804875418487,0.6307183214512161
exponential,0.8500000000000001,20.963041538151316,3.9461110974125244,0.658547546519242
exponential,0.9,23.052567912419736,3.9462510391601024,0.6924139237257432
exponential,0.9500000000000001,24.80339804576473,3.951499165310236,0.7231181442558305
exponential,1.0,25.71881490594751,3.958077081919334,0.7348232830270718
