episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1778,355600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.906161375,0.005,685.8630443287763,3.4293152216438814,7.392239510526606,6.089009057055281,4.355084825610868,,7.314961009503563,87.10169651221737,2.561031501993891,0.26,200,75.15906355561407,43.09204088741075,30.470069336022533,25.167270711938595,906.1248930136767,472.2574494840816,424.55945197978866,450.61309742277956,4.663511611145622,4.663511611145622,4.771547757358006,4.771547757358006,0.10803614621238378,0.10803614621238378
1779,355800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9061085972222223,0.005,999.0916360882304,4.995458180441152,8.895942901770633,5.7376833045549045,5.27985597621266,,7.314961009503563,105.5971195242532,2.5589777345613762,0.25625,200,66.53239061408883,48.08618696002507,56.05068255892403,35.577930609171716,342.8946944470139,249.18976335802972,748.1573231136523,783.0236235506296,4.717173266901531,4.717173266901531,4.780193137978628,4.780193137978628,0.06301987107709728,0.06301987107709728
1780,356000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9060558194444445,0.005,785.0535546896099,3.9252677734480494,8.200573475312373,6.800441003464777,4.426103755345837,,7.314961009503563,88.52207510691674,2.4898820447942445,0.2625,200,35.582553331630734,44.35442261161336,15.184887789712045,10.35947208529149,509.14613995064497,422.3565461023741,450.1074926331959,516.5736958623645,4.810945851419379,4.810945851419379,4.773135432203559,4.773135432203559,0.037810419215819735,0.037810419215819735
1781,356200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9060030416666667,0.005,747.2188277757259,3.7360941388786295,7.312285472389565,5.300018254258137,4.381378203004606,,7.314961009503563,87.62756406009214,2.617147315576125,0.25375,200,88.62330812547755,50.385713256663685,61.44883632203951,9.096673535889948,990.1983620716084,468.5867846978893,917.6201541624441,787.7232251126334,4.776421985693919,4.776421985693919,4.787836486431055,4.787836486431055,0.011414500737135569,0.011414500737135569
1782,356400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9059502638888889,0.005,1061.0462315973327,5.305231157986664,8.912666748156138,5.934502358899154,5.582070080300824,,7.314961009503563,111.64140160601647,2.5449571453092275,0.26375,200,64.80131517397035,41.45924114393163,22.367876868645055,3.2437312177885054,278.7183310485802,334.88599450646836,388.01261203580094,331.5407388876422,4.86662107258646,4.86662107258646,4.802596070757836,4.802596070757836,0.06402500182862347,0.06402500182862347
1783,356600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9058974861111111,0.005,984.1332152458206,4.920666076229103,8.24626930727897,5.741606171191052,5.20091415160249,,7.314961009503563,104.01828303204981,2.5723968397522454,0.27125,200,66.95627234412781,59.59038923672222,56.01868140042654,41.17777298400825,430.98439614292073,401.595592166973,286.36680497315365,339.62173776844173,4.902714806689604,4.902714806689604,4.8107239826532595,4.8107239826532595,0.09199082403634407,0.09199082403634407
1784,356800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9058447083333333,0.005,1093.606455765859,5.468032278829295,8.200663433080699,5.078803510738637,5.743242586574947,,7.314961009503563,114.86485173149896,2.5313523379725775,0.27125,200,48.6219159169621,56.54049166934816,18.292522529878536,12.212754733290119,524.8490060538413,371.36939456480343,415.88468817086414,115.16848302185561,4.891040198497131,4.891040198497131,4.8201292728120215,4.8201292728120215,0.07091092568510948,0.07091092568510948
1785,357000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9057919305555555,0.005,933.0371516843162,4.665185758421581,8.447876025484884,5.757756021990959,4.9444477077979165,,7.314961009503563,98.88895415595834,2.564539266042467,0.25875,200,57.116826093958814,63.50565153272788,18.850761531450374,26.322648724411632,457.74991321889127,67.921109153553,870.0874221874021,777.9425703644711,4.88836619400564,4.88836619400564,4.813327592192185,4.813327592192185,0.07503860181345523,0.07503860181345523
1786,357200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9057391527777778,0.005,859.3897013496168,4.296948506748084,8.53075591562835,6.711320689941518,4.576450358220628,,7.314961009503563,91.52900716441256,2.56667122454757,0.25375,200,38.794108898612734,75.16686084360211,7.975049218436883,64.02979651347529,436.13543231515035,123.75783142631478,449.78142637730247,755.8653197926785,4.844254850003216,4.844254850003216,4.803325848349904,4.803325848349904,0.04092900165331148,0.04092900165331148
1787,357400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.905686375,0.005,717.8162945370326,3.589081472685163,7.5650973991149355,6.092269196367761,4.294613664254151,,7.314961009503563,85.89227328508302,2.5741129157733558,0.255,200,65.65520549248491,58.58389752165708,30.09137959426369,35.646544093438926,799.881510236031,523.3516926354974,828.7393393359514,809.0786470845031,4.790510854827619,4.790510854827619,4.787897285188217,4.787897285188217,0.002613569639401625,0.002613569639401625
