episode,step,reward_total,reward_secrecy,reward_sensing,reward_constraint_penalty,secrecy_raw,sensing_raw,violation,f
3,0,6.791260237112253,0.04595551372691558,6.747304723385337,-0.0,3.2168859608840905,40.48382834031202,0.0,6.793260237112253
3,1,7.271612262261978,0.030613374140085487,7.243998888121894,-2.131628207280301e-15,2.142936189805984,43.46399332873136,2.1316282072803006e-14,7.2746122622619795
3,2,7.249346623866372,0.02144472469447554,7.230901899171897,-7.112366251504909e-16,1.5011307286132878,43.38541139503138,7.112366251504909e-15,7.252346623866373
3,3,7.185501507886418,0.01462544184295817,7.17487606604346,-7.112366251504909e-16,1.0237809290070718,43.04925639626076,7.112366251504909e-15,7.189501507886418
3,4,7.162523928769678,0.009827838892112216,7.156696089877566,-0.0,0.6879487224478551,42.940176539265394,0.0,7.166523928769678
4,0,6.9324574768213605,0.029871975338256338,6.904585501483104,-0.0,2.0910382736779436,41.42751300889862,0.0,6.93445747682136
4,1,7.405053023058194,0.01849860614485925,7.389554416913337,-2.1323220966706914e-15,1.2949024301401475,44.33732650148002,2.1323220966706913e-14,7.408053023058196
4,2,7.362686474314672,0.00867823017089807,7.358008244143774,-7.112366251504909e-16,0.6074761119628649,44.148049464862645,7.112366251504909e-15,7.3666864743146725
4,3,7.278533398831553,0.00515770744049309,7.27737569139106,-7.112366251504909e-16,0.3610395208345163,43.66425414834636,7.112366251504909e-15,7.2825333988315535
4,4,7.235132809183549,0.0037047396728770617,7.2354280695106725,-7.105427357601002e-16,0.2593317771013943,43.41256841706404,7.105427357601002e-15,7.239132809183549
5,0,6.665217209088491,0.023689182777888135,6.644528026310603,-2.081668171172169e-18,1.6582427944521694,39.86716815786362,2.0816681711721685e-17,6.668217209088491
5,1,7.1698092223401275,0.01295618943010911,7.16085303291002,-2.131628207280301e-15,0.9069332601076376,42.96511819746012,2.1316282072803006e-14,7.173809222340129
5,2,7.145860229007818,0.00730481916751546,7.142555409840303,-7.112366251504909e-16,0.5113373417260823,42.85533245904182,7.112366251504909e-15,7.149860229007818
5,3,7.065291164849211,0.0028957705340254387,7.066395394315186,-7.112366251504909e-16,0.20270393738178072,42.39837236589111,7.112366251504909e-15,7.069291164849211
5,4,7.018247688988863,9.004309313311864e-05,7.022527344243799,-7.112366251504909e-16,0.006303016519318305,42.135164065462796,7.112366251504909e-15,7.022617387336932
6,0,6.427960121833191,0.01233668627014138,6.41862343556305,-6.938893903907229e-19,0.8635680389098965,38.5117406133783,6.938893903907228e-18,6.430960121833191
6,1,6.919504221913504,0.006186853227566041,6.917317368685939,-2.1323220966706914e-15,0.43307972592962285,41.503904212115636,2.1323220966706913e-14,6.923504221913506
6,2,6.879580408462626,0.002715002100682508,6.880865406361944,-7.105427357601002e-16,0.19005014704777556,41.28519243817166,7.105427357601002e-15,6.883580408462627
6,3,6.817533255414413,0.0,6.822533255414414,-7.105427357601002e-16,0.0,40.935199532486486,7.105427357601002e-15,6.822533255414414
6,4,6.7727834163833025,0.0,6.777783416383303,-7.112366251504909e-16,0.0,40.66670049829982,7.112366251504909e-15,6.777783416383303
7,0,6.566953239924084,0.0418057239836434,6.52814751594044,-0.0,2.926400678855038,39.16888509564264,0.0,6.569953239924084
7,1,7.029826418374984,0.008688924216243305,7.025137494158742,-2.1323220966706914e-15,0.6082246951370314,42.150824964952456,2.1323220966706913e-14,7.033826418374986
7,2,6.9923220367500285,0.004336015399949969,6.991986021350079,-7.105427357601002e-16,0.30352107799649786,41.95191612810047,7.105427357601002e-15,6.996322036750029
7,3,6.934635070815224,0.0014788912256527675,6.9371561795895715,-7.112366251504909e-16,0.10352238579569373,41.62293707753743,7.112366251504909e-15,6.9386350708152245
7,4,6.880786354274909,0.00014894813794238086,6.884637406136966,-7.112366251504909e-16,0.01042636965596666,41.3078244368218,7.112366251504909e-15,6.884786354274909
8,0,6.5818465280070875,0.086029454934362,6.4988170730727255,-0.0,6.022061845405339,38.99290243843635,0.0,6.584846528007088
8,1,7.0529122507169495,0.06605329747031383,6.988858953246638,-2.1323220966706914e-15,4.623730822921968,41.933153719479826,2.1323220966706913e-14,7.054912250716951
