episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
20,4000,rayleigh,64,0.9892249166666667,4.478118532764665,9.375976687646672,6.205445605699722,5.6146828960752355,,,200,4.9528243382009425,4.9528243382009425,4.9528243382009425,4.9528243382009425,0.0,0.0
21,4200,rayleigh,64,0.9886860277777778,3.0658188838978897,7.408849531506735,7.252175878479801,3.543714871252682,,,200,4.913299847933315,4.913299847933315,4.885723887393882,4.885723887393882,0.027575960539432565,0.027575960539432565
22,4400,rayleigh,64,0.9881471388888889,3.743927652671223,9.165941205187668,8.261763395380523,4.334652120613837,,,200,4.918019942326893,4.918019942326893,4.860675170722062,4.860675170722062,0.0573447716048312,0.0573447716048312
23,4600,rayleigh,64,0.98760825,4.7795759901857515,9.061915851043828,8.961980894484931,5.077612248745943,,,200,4.91157991086733,4.91157991086733,4.870107217592666,4.870107217592666,0.041472693274664074,0.041472693274664074
24,4800,rayleigh,64,0.9870693611111111,3.661276441187775,8.853314218710219,7.470965471859102,4.233663578100527,,,200,4.891609134655698,4.891609134655698,4.843588732613827,4.843588732613827,0.04802040204187108,0.04802040204187108
25,5000,rayleigh,64,0.9865304722222222,3.8426658761920462,8.121108365639792,7.160885214966492,4.116029376441696,,,200,4.783954107881584,4.783954107881584,4.814486358366942,4.814486358366942,0.030532250485357793,0.030532250485357793
26,5200,rayleigh,64,0.9859915833333334,4.038920583385849,7.719971070600493,5.624562369102261,4.405361690107069,,,200,4.792594687553473,4.792594687553473,4.798750794203101,4.798750794203101,0.006156106649627624,0.006156106649627624
27,5400,rayleigh,64,0.9854526944444445,2.3046601420232693,8.491918338790608,10.92035505774336,2.5835252750546744,,,200,4.674308316313182,4.674308316313182,4.71670540460501,4.71670540460501,0.04239708829182831,0.04239708829182831
28,5600,rayleigh,64,0.9849138055555555,4.460175399445738,7.563397792148272,5.3839713365355,4.739977224151884,,,200,4.686516993828248,4.686516993828248,4.717536541017398,4.717536541017398,0.031019547189149677,0.031019547189149677
29,5800,rayleigh,64,0.9843749166666667,5.130568436579503,8.278691540116517,5.029832074504837,5.407513683967206,,,200,4.72395906952181,4.72395906952181,4.7413288562915294,4.7413288562915294,0.01736978676971912,0.01736978676971912
