episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
22,4400,TD3PG,rician,64,0.001,0.001,64,0.29862531249999996,0.2,0.5,2,velocity,False,True,full,True,974.4230763728217,4.872115381864108,8.685137797317084,3.0198428740268164,5.665294923290267,24.0,301.69806061413715,715.5129360224474,3.0198428740268164,,,113.30589846580536,6.876783825355386,0.39779087623841164,200,379.7511747798929,377.31212892116014,379.2905617569301,333.64860146469374,324.18995331602264,117.75885323507349,299.4855999895646,475.7436694838062,5.53609724265746,5.5177972182383295,0.0183000244191307,5.593939781188965,-41.970611572265625,4400
23,4600,TD3PG,rician,64,0.001,0.001,64,0.2985628125,0.2,0.5,2,velocity,False,True,full,True,411.3226123033368,2.056613061516684,8.068354972080924,5.020023125975518,3.4770903470001673,16.0,48.33929785534137,380.4253630080777,5.020023125975518,,,69.54180694000335,6.887798465198635,0.35295517412546673,200,378.7943017048902,321.18582977242386,378.29987985410276,297.0640967025418,875.6844922118215,652.6210106207568,51.28664490638279,139.70198868672415,5.480563593451352,5.429070832532323,0.05149276091902877,6.207508087158203,-44.263668060302734,4600
24,4800,TD3PG,rician,64,0.001,0.001,64,0.2985003125,0.2,0.5,2,velocity,False,True,full,True,1009.155626442366,5.04577813221183,9.467418341503967,2.9041999945400345,6.563218346963925,18.0,241.14925981316878,843.1355481858237,2.9041999945400345,,,131.26436693927852,6.703235030401973,0.4574839839429191,200,372.9407518648105,303.21703438685256,304.11288863584934,288.489065479462,235.46359549723007,443.2846653015895,242.19929641102405,598.963061190911,5.487229207114973,5.4763269789669735,0.010902228147999793,5.424476623535156,-48.92832946777344,4800
25,5000,TD3PG,rician,64,0.001,0.001,64,0.2984378125,0.2,0.5,2,velocity,False,True,full,True,1249.4094161477535,6.247047080738768,9.30361033159034,2.184844865854085,7.118765465736257,17.0,526.0608674005225,851.0004581113748,2.184844865854085,,,142.37530931472514,6.845586617976832,0.46887532781648517,200,377.8650999952681,375.730471695554,374.953450725792,373.94166969137905,89.08725323685488,490.4615472868522,527.4743557802358,425.5852643625743,5.542062563597601,5.542024518437745,3.804515985628143e-05,20.619937896728516,-49.188865661621094,5000
26,5200,TD3PG,rician,64,0.001,0.001,64,0.2983753125,0.2,0.5,2,velocity,False,True,full,True,850.9093037975462,4.2545465189877305,8.315991179726401,3.455274480688387,5.008912198560426,20.0,150.91455155138624,380.08212164249557,3.455274480688387,,,100.17824397120853,6.533095871900411,0.45661504476136583,200,347.60081039222894,375.4987484812027,344.7057797644044,374.4719678521838,493.92680276895163,81.08825676834041,157.5217605289013,376.797778914808,5.497951596901326,5.521520198442464,0.023568601541137824,6.453856468200684,-53.10354232788086,5200
27,5400,TD3PG,rician,64,0.001,0.001,64,0.29831281249999997,0.2,0.5,2,velocity,False,True,full,True,1464.4652897286455,7.322326448643228,10.117389256978427,1.4859901137963745,8.631399143182055,14.0,709.4560101984022,903.5119577585687,1.4859901137963745,,,172.62798286364108,6.366093916199977,0.4678003506945208,200,352.38073566071716,206.1429671965739,339.66458099048214,156.83935250454022,80.9945873191355,75.98423385246146,713.4053746041666,749.6840438766442,5.644511272679861,5.636700900099486,0.007810372580375535,5.7255682945251465,-55.441986083984375,5400
28,5600,TD3PG,rician,64,0.001,0.001,64,0.2982503125,0.2,0.5,2,velocity,False,True,full,True,822.2459669980273,4.111229834990136,8.04195645908851,1.4325448125266302,6.6094116465618775,24.0,557.1263902515169,1077.0514592970083,1.4325448125266302,,,132.18823293123756,6.455060798274514,0.46870584653138464,200,163.58236635101076,260.2872154957342,158.93580958997114,216.96789202677598,678.2732927453317,531.7748724138536,545.6093310080294,89.61095380395292,5.653658131863228,5.671440569616,0.017782437752772218,8.089722633361816,-58.72742462158203,5600
29,5800,TD3PG,rician,64,0.001,0.001,64,0.2981878125,0.2,0.5,2,velocity,False,True,full,True,81.61538002769149,0.40807690013845743,8.528623938120527,8.072129178914249,1.1570553659740113,20.0,34.005922822592126,491.2372517220837,8.072129178914249,,,23.14110731948023,5.835799271959296,0.41155534797437504,200,349.9468621588928,306.1728098004044,338.69695110188576,273.8917842402701,352.75150348168467,388.56988815938894,36.08659691638383,743.3551777369029,5.384857710247475,5.515772114318,0.13091440407052435,9.35721206665039,-61.44435119628906,5800
30,6000,TD3PG,rician,64,0.001,0.001,64,0.29812531249999996,0.2,0.5,2,velocity,False,True,full,True,1326.6969511253287,6.633484755626643,8.40135868996656,1.0316180989315982,7.369740591034965,18.0,452.90385376979634,847.6465661419811,1.0316180989315982,,,147.39481182069932,6.356747231507854,0.471048484320645,200,344.12113080611954,365.9352635881831,333.4243512931934,341.2266248132,710.6249286508629,297.2230498702627,456.09223928063807,450.85131254833664,5.3972449153151825,5.577571063541899,0.18032614822671622,8.157663345336914,-61.19340515136719,6000
31,6200,TD3PG,rician,64,0.001,0.001,64,0.2980628125,0.2,0.5,2,velocity,False,True,full,True,1134.3874504087296,5.671937252043648,7.870943978141871,1.436943941390705,6.434000036751167,18.0,422.53989907414694,1026.0133763231534,1.436943941390705,,,128.68000073502333,6.551800370568235,0.47497279638049794,200,359.3218622547226,368.11928597552776,347.7948310102772,359.5601115644026,945.2522176292088,444.5168077164803,423.7721108481885,306.630759018123,5.431250916458671,5.605197804613166,0.17394688815449477,2.638666868209839,-67.2625732421875,6200
32,6400,TD3PG,rician,64,0.001,0.001,64,0.2980003125,0.2,0.5,2,velocity,False,True,full,True,231.22202440879644,1.1561101220439822,8.35208371954072,7.653699224086386,1.9175544373327655,20.0,87.50818594344076,448.8164452955409,7.653699224086386,,,38.35108874665531,6.4248681267223775,0.34907291309206584,200,359.8104380782406,354.47438491812477,340.09936976710236,319.3989569520459,477.83980499168496,353.089261991804,78.04555371482573,747.273907628316,5.098372579983603,5.489958949385652,0.3915863694020496,9.143989562988281,-66.94477081298828,6400
33,6600,TD3PG,rician,64,0.001,0.001,64,0.2979378125,0.2,0.5,2,velocity,False,True,full,True,291.02234815807407,1.4551117407903704,8.329513272887725,5.1715167656300185,3.2028375388294923,21.0,103.21527766439971,474.6209944776094,5.1715167656300185,,,64.05675077658985,6.517810003819466,0.45561837671329314,200,263.6697914136858,346.087814206533,262.32127225898574,330.68886738801643,509.7003494995899,503.9562156286894,98.62908325281292,585.3638450704203,4.908474992223246,5.42065223997486,0.5121772477516142,10.266797065734863,-65.84724426269531,6600
34,6800,TD3PG,rician,64,0.001,0.001,64,0.2978753125,0.2,0.5,2,velocity,False,True,full,True,760.7395219263226,3.803697609631613,9.32229511958186,4.409740399077411,4.912554720504451,17.0,106.35264325060164,565.5030637346051,4.409740399077411,,,98.25109441008901,6.666972655823655,0.4717156852203126,200,358.08041459436447,348.2038470856251,330.343479084373,330.8560247785136,389.4021988492741,292.67109355603014,101.28756836113095,595.8842611296556,4.860170450629168,5.405708195284554,0.5455377446553857,7.892632484436035,-70.6951904296875,6800
35,7000,TD3PG,rician,64,0.001,0.001,64,0.29781281249999997,0.2,0.5,2,velocity,False,True,full,True,1200.9458767103247,6.004729383551624,8.736314223690082,1.937854738627154,6.79845948506293,20.0,329.95696353384227,867.4626356401211,1.937854738627154,,,135.9691897012586,6.839287928190257,0.4695554037420909,200,379.8514217671585,371.99868998726384,379.2430316134876,369.3671347665505,597.3727108895176,327.70797132764096,327.7336723477816,283.29462671315383,5.043889982271921,5.445501089278221,0.40161110700630065,12.27192497253418,-71.03851318359375,7000
36,7200,TD3PG,rician,64,0.001,0.001,64,0.2977503125,0.2,0.5,2,velocity,False,True,full,True,791.3661016013729,3.956830508006864,8.952389288063893,3.079647765510106,5.883887692028734,20.0,253.82382797723483,487.56802205412527,3.079647765510106,,,117.6777538405747,6.5808517464782845,0.47416153399279454,200,342.598129819008,177.851332935655,316.53530848385304,105.1379986738929,175.2922070396381,548.8340188101009,243.09001033066872,444.33136097919544,5.1441446715057415,5.45767849491018,0.31353382340443847,6.584094047546387,-73.02632141113281,7200
37,7400,TD3PG,rician,64,0.001,0.001,64,0.2976878125,0.2,0.5,2,velocity,False,True,full,True,1287.4477495456283,6.437238747728141,9.51081350835182,2.212411510577825,7.298401997773993,21.0,254.8607069307076,763.96949115732,2.212411510577825,,,145.9680399554799,6.656766351878222,0.47524750143276,200,379.29925401349743,356.4913716839774,378.90438775087,332.4421956718066,346.7208587544918,642.3721080280841,260.3631530598936,329.01506854074336,5.177536722941097,5.507427778771365,0.32989105583026745,4.8870158195495605,-75.71333312988281,7400
38,7600,TD3PG,rician,64,0.001,0.001,64,0.2976253125,0.2,0.5,2,velocity,False,True,full,True,1275.5950041399462,6.377975020699731,10.830982063052977,3.1684340324268883,7.662548030626081,26.0,313.60529933831396,788.5726626682165,3.1684340324268883,,,153.25096061252162,6.804457725261939,0.4715493222955815,200,378.53015544869146,303.6022528868283,378.14486425908905,279.59103228730066,171.33457037037942,135.9387065312487,315.8154939464957,423.53450177077593,5.518372439016111,5.5641414696096465,0.04576903059353565,5.606978416442871,-76.30804443359375,7600
39,7800,TD3PG,rician,64,0.001,0.001,64,0.2975628125,0.2,0.5,2,velocity,False,True,full,True,1466.542658110747,7.332713290553735,9.613641950135754,1.472126800160367,8.141515149975385,22.0,584.8315181666184,1123.651427017041,1.472126800160367,,,162.8303029995077,6.877518297991742,0.46888386093146217,200,378.4805393976543,377.98507273522364,377.968391368188,376.7033862706359,191.67103138854378,298.4878875496056,582.1828910355403,114.73017109759701,5.78202341249176,5.630227974234409,0.1517954382573512,308.22216796875,-80.5655517578125,7800
40,8000,TD3PG,rician,64,0.001,0.001,64,0.2975003125,0.2,0.5,2,velocity,False,True,full,True,1014.5002373487695,5.072501186743847,7.581025147476362,0.8554140665786418,6.7256110808977185,19.0,928.1728912142202,1394.0823468460876,0.8554140665786418,,,134.51222161795437,6.587731987022306,0.47228167799508447,200,300.27398491705696,328.43190315682523,278.1709690537374,278.24993251576865,1022.7875905134779,503.3083592207824,932.1519725364038,500.8334560971634,5.809338024158147,5.657612551900991,0.15172547225715594,164.72315979003906,-83.11524963378906,8000
41,8200,TD3PG,rician,64,0.001,0.001,64,0.2974378125,0.2,0.5,2,velocity,False,True,full,True,1388.7765685995057,6.943882842997528,9.507289285259493,1.5834380288122176,7.923851256447285,19.0,453.002724525653,953.7750715015192,1.5834380288122176,,,158.47702512894568,6.71744287208173,0.47079331701542304,200,364.0660882265436,362.6640121718094,356.2656263886966,324.50235077831013,341.4135786219291,605.5166530846692,452.9190599993849,205.4008832494453,5.925105472726698,5.712886666646023,0.21221880608067512,8.97923469543457,-83.17987060546875,8200
42,8400,TD3PG,rician,64,0.001,0.001,64,0.2973753125,0.2,0.5,2,velocity,False,True,full,True,1101.381163341335,5.5069058167066745,8.961681011907874,1.7353334604237098,7.226347551484167,20.0,258.7429082109766,749.2770525232288,1.7353334604237098,,,144.52695102968335,6.706587618279011,0.4677019771043105,200,378.08392878562034,188.07735668151878,377.29804270472073,162.19896510599528,397.3067931299463,352.1431925665912,258.9569356731485,412.2535496225804,6.003158104136393,5.74892144961836,0.25423665451803323,9.049421310424805,-87.73223876953125,8400
43,8600,TD3PG,rician,64,0.001,0.001,64,0.29731281249999997,0.2,0.5,2,velocity,False,True,full,True,1219.678319257511,6.098391596287555,8.30384697217659,1.055700866744424,7.248146105432162,29.0,842.0155002796514,1173.3589803972243,1.055700866744424,,,144.96292210864326,5.985593504272098,0.4700924427297541,200,337.596625371132,280.77603425744064,314.39633948182654,84.28786846107877,663.6060527034522,605.7021676786146,843.3814069775341,233.01638115388414,6.191710892057992,5.783787139288449,0.40792375276954385,6.549011707305908,-86.40330505371094,8600
44,8800,TD3PG,rician,64,0.001,0.001,64,0.2972503125,0.2,0.5,2,velocity,False,True,full,True,1115.9204029149882,5.579602014574942,9.731357125102157,2.907572597586391,6.823784527515778,20.0,562.5428877954475,941.1681435558982,2.907572597586391,,,136.47569055031556,6.53888378848497,0.4736036393720368,200,379.6993406319142,287.8899387999525,379.3336049631709,167.63587114257936,189.3815847323954,502.58744190315906,560.855148938252,1049.8797948819633,6.2047392010855855,5.807423443566342,0.39731575751924364,5.627842903137207,-96.22135162353516,8800
45,9000,TD3PG,rician,64,0.001,0.001,64,0.2971878125,0.2,0.5,2,velocity,False,True,full,True,1264.1993979669435,6.320996989834717,7.790048046725328,0.6741821321249236,7.115865914600406,16.0,694.7193679362537,1251.16030721781,0.6741821321249236,,,142.31731829200814,6.791470665140026,0.4699210998700299,200,378.94959853745513,368.16927104697737,378.31589904941,355.4239491281943,921.7334949805147,440.48862160652584,696.4064420164578,175.55536926066037,6.204594223528792,5.836499942922655,0.3680942806061367,7.492933750152588,-93.98487854003906,9000
46,9200,TD3PG,rician,64,0.001,0.001,64,0.2971253125,0.2,0.5,2,velocity,False,True,full,True,1284.5157747044775,6.422578873522387,9.50162579672527,2.249824241084583,7.251801555640692,21.0,391.9798634869216,1073.9613711513275,2.249824241084583,,,145.03603111281382,6.870178556675432,0.47036850398226804,200,380.2561413056993,374.0547000970043,379.9729927430273,372.4471737853416,419.5207676307785,313.505663150806,390.0305509685307,592.221342371173,6.316738691382806,5.86726736928609,0.44947132209671636,8.047576904296875,-100.54026794433594,9200
47,9400,TD3PG,rician,64,0.001,0.001,64,0.2970628125,0.2,0.5,2,velocity,False,True,full,True,958.8967773975456,4.794483886987728,9.231726494704349,3.635920745734253,5.5958057489700925,23.0,88.45687141967625,596.3381116738774,3.635920745734253,,,111.91611497940185,6.863687359622349,0.4695204359651525,200,378.4560935463294,376.9424373167557,377.9588625267501,371.1472298268908,288.529934513799,461.34853417454883,83.26239424198938,403.4077488728644,6.1649590216722086,5.86149159013043,0.3034674315417787,5.697208404541016,-95.34806823730469,9400
48,9600,TD3PG,rician,64,0.001,0.001,64,0.2970003125,0.2,0.5,2,velocity,False,True,full,True,829.2067017242564,4.146033508621282,8.04399695281557,2.1940664983167792,5.849930454498798,24.0,426.6007755652348,935.9388866668655,2.1940664983167792,,,116.99860908997599,6.558152683742719,0.4736964468616422,200,355.11214158886503,248.0028212459149,336.13224715604105,239.86192980999505,829.9478924253316,337.28893483994773,424.4315222369746,511.77280652310714,6.126984962069054,5.861250733138104,0.2657342289309499,619.0357055664062,-98.57675170898438,9600
49,9800,TD3PG,rician,64,0.001,0.001,64,0.2969378125,0.2,0.5,2,velocity,False,True,full,True,1242.6096128729134,6.213048064364568,8.461547361102548,1.5279700757131436,6.933577285389405,20.0,644.6510935019737,1291.6001035659322,1.5279700757131436,,,138.67154570778808,6.227679601640401,0.47185604437356254,200,379.5047397963919,304.82717519194944,379.1390403507262,134.69003179844663,529.5504060486857,150.65941706661994,638.5835348259968,441.4563200924846,6.415811058039824,5.883134948490172,0.5326761095496524,443.6510009765625,-98.71939849853516,9800
