slot,pre_projection_power,post_projection_power,projection_distance
0,4.269395519068344,4.269395519068344,0.0
1,5.129717700201072,5.129717700201072,0.0
2,4.152869141275361,4.152869141275361,0.0
3,4.2281924501989545,4.2281924501989545,0.0
4,5.189485176227924,5.189485176227924,0.0
0,7.718640765787179,7.718640765787179,0.0
1,6.97704352868762,6.97704352868762,0.0
2,6.578310154740113,6.578310154740113,0.0
3,7.438304701831702,7.438304701831702,0.0
4,6.836167242602031,6.836167242602031,0.0
0,7.881985946605049,7.881985946605049,0.0
1,7.328197173164007,7.328197173164007,0.0
2,7.35521891455302,7.35521891455302,0.0
3,7.699490880311644,7.699490880311644,0.0
4,6.80244720007173,6.80244720007173,0.0
0,7.971794047436021,7.971794047436021,0.0
1,7.689545251172277,7.689545251172277,0.0
2,7.85594361430564,7.85594361430564,0.0
3,7.907824508514349,7.907824508514349,0.0
4,7.162422443619086,7.162422443619086,0.0
0,7.999999880790714,7.999999880790714,0.0
1,7.999990701691792,7.999990701691792,0.0
2,7.999999761581428,7.999999761581428,0.0
3,7.999999523162878,7.999999523162878,0.0
4,7.998884512235129,7.998884512235129,0.0
0,2.640960672814592,2.640960672814592,0.0
1,4.175219660308627,4.175219660308627,0.0
2,4.579975352316136,4.579975352316136,0.0
3,3.8623106996291883,3.8623106996291883,0.0
4,5.1132690589932395,5.1132690589932395,0.0
0,7.503897269395266,7.503897269395266,0.0
1,6.625357958177283,6.625357958177283,0.0
2,5.775231686665465,5.775231686665465,0.0
3,7.13461819375313,7.13461819375313,0.0
4,6.943840164866947,6.943840164866947,0.0
0,7.9905632477621715,7.9905632477621715,0.0
1,7.863610641459875,7.863610641459875,0.0
2,7.958409016587015,7.958409016587015,0.0
3,7.967773362378512,7.967773362378512,0.0
4,7.1569325079684925,7.1569325079684925,0.0
0,7.999902964286719,7.999902964286719,0.0
1,7.997235600438883,7.997235600438883,0.0
2,7.999796274390957,7.999796274390957,0.0
3,7.99967957803191,7.99967957803191,0.0
4,7.755646819776696,7.755646819776696,0.0
