episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
11,2200,rayleigh,64,0.9940749166666667,4.038098253018908,9.617543013070291,8.35034801432484,4.333071578432125,24.0,393.8305428899968,840.2900818562422,8.35034801432484,,,200,2.3570733503279624,2.3570733503279624,2.3570733503279624,2.3570733503279624,0.0,0.0
12,2400,rayleigh,64,0.9935360277777778,2.639784511218045,7.32945668704907,7.390229201273366,3.020850803956977,15.0,958.0602574358985,1393.8281570218378,7.390229201273366,,,200,2.4123881381303804,2.4123881381303804,2.4123881381303804,2.4123881381303804,0.0,0.0
13,2600,rayleigh,64,0.9929971388888889,0.9925075892828211,7.590367908264701,10.234220441613123,1.6854845446243407,27.0,150.48250067350867,423.69325219430675,10.234220441613123,,,200,2.3564724770914545,2.3564724770914545,2.3564724770914545,2.3564724770914545,0.0,0.0
14,2800,rayleigh,64,0.99245825,2.5710994504787403,8.44789973032102,8.290034323793378,2.8464301792185562,17.0,710.4879506933554,980.5065962138069,8.290034323793378,,,200,2.3914694558148186,2.3914694558148186,2.3914694558148186,2.3914694558148186,0.0,0.0
15,3000,rayleigh,64,0.9919193611111111,1.0351226841795604,7.793457695015491,10.46681677182517,1.6747387582915678,17.0,300.1340909774818,706.0003473135295,10.46681677182517,,,200,2.3436874093132687,2.3436874093132687,2.3436874093132687,2.3436874093132687,0.0,0.0
16,3200,rayleigh,64,0.9913804722222223,2.8643534108718454,7.710705832215969,8.213916554932627,3.221691847716661,23.0,440.9949888355183,1022.9617402897954,8.213916554932627,,,200,2.398562686713481,2.398562686713481,2.398562686713481,2.398562686713481,0.0,0.0
17,3400,rayleigh,64,0.9908415833333334,2.440304799986696,8.112194813023564,8.27702414239857,2.7139459461700643,17.0,560.5680649452761,1137.0526106267916,8.27702414239857,,,200,2.4171146431521033,2.4171146431521033,2.4171146431521033,2.4171146431521033,0.0,0.0
18,3600,rayleigh,64,0.9903026944444444,2.912044351396609,8.4350720544492,7.995167050341789,3.8649620853386772,16.0,410.94607864902673,953.9723897243313,7.995167050341789,,,200,2.4975506121624687,2.4975506121624687,2.4975506121624687,2.4975506121624687,0.0,0.0
19,3800,rayleigh,64,0.9897638055555555,3.035887681878933,8.787897447516363,9.99993022277448,3.310228260368151,13.0,98.2417387304182,781.7999017016278,9.99993022277448,,,200,2.5403231199627676,2.5403231199627676,2.5403231199627676,2.5403231199627676,0.0,0.0
20,4000,rayleigh,64,0.9892249166666667,2.601376405347014,8.181550272195913,8.951574254527099,2.9452121085805514,25.0,398.4012104464713,734.0891970560017,8.951574254527099,,,200,2.5605675693936565,2.5605675693936565,2.5605675693936565,2.5605675693936565,0.0,0.0
21,4200,rayleigh,64,0.9886860277777778,1.711597076455944,8.643793856903466,10.610652640259849,2.1082687491137775,19.0,354.7371450039783,739.4006124441271,10.610652640259849,,,200,2.553777717390241,2.553777717390241,2.53902953033271,2.53902953033271,0.014748187057531226,0.014748187057531226
22,4400,rayleigh,64,0.9881471388888889,2.6409102182665265,9.548168294913937,10.00381732585337,3.125670812470202,23.0,413.0893177136548,737.6262976302693,10.00381732585337,,,200,2.6856903738519686,2.6856903738519686,2.5656950431571413,2.5656950431571413,0.11999533069482737,0.11999533069482737
