episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
12,2400,rician,64,0.9935360277777778,4.097213269155923,8.527796594714081,8.47691711676336,4.382535765702692,,,200,5.137350580074673,5.137350580074673,5.137350580074673,5.137350580074673,0.0,0.0
13,2600,rician,64,0.9929971388888889,5.001145109135049,8.577020524090925,5.076286127352562,5.859210572629162,,,200,5.192878271809634,5.192878271809634,5.192878271809634,5.192878271809634,0.0,0.0
14,2800,rician,64,0.99245825,5.0268731048373185,8.766941195459099,4.69231870729344,6.122754488903679,,,200,5.259298001602066,5.259298001602066,5.259298001602066,5.259298001602066,0.0,0.0
15,3000,rician,64,0.9919193611111111,5.008801014030513,9.55153454994058,6.748380776360886,5.414440016682266,,,200,5.269640802607412,5.269640802607412,5.269640802607412,5.269640802607412,0.0,0.0
16,3200,rician,64,0.9913804722222223,5.662702231934185,9.346456911744447,6.100436594673462,5.9448785029319735,,,200,5.311843158877697,5.311843158877697,5.311843158877697,5.311843158877697,0.0,0.0
17,3400,rician,64,0.9908415833333334,4.954648590530869,9.561034808199818,7.586381725339029,5.248395556914571,,,200,5.308110946997513,5.308110946997513,5.308110946997513,5.308110946997513,0.0,0.0
18,3600,rician,64,0.9903026944444444,6.032951126232407,9.78511823510782,5.866909748124543,6.310548485128258,,,200,5.36380192133811,5.36380192133811,5.36380192133811,5.36380192133811,0.0,0.0
19,3800,rician,64,0.9897638055555555,3.7729003460692554,8.963963051424713,6.53060342207669,5.014939829487759,,,200,5.345440758609144,5.345440758609144,5.345440758609144,5.345440758609144,0.0,0.0
20,4000,rician,64,0.9892249166666667,5.152920114002373,10.08745858941245,6.150758840365935,6.297674413348619,,,200,5.393052441346118,5.393052441346118,5.393052441346118,5.393052441346118,0.0,0.0
21,4200,rician,64,0.9886860277777778,3.5821262476276896,7.798986473270868,7.1387201293372256,4.062729239409553,,,200,5.354695386880805,5.354695386880805,5.329703717444376,5.329703717444376,0.024991669436428943,0.024991669436428943
22,4400,rician,64,0.9881471388888889,4.029235647385788,9.417916613250974,8.371239502328155,4.639525831556175,,,200,5.352734885066571,5.352734885066571,5.298331995358549,5.298331995358549,0.05440288970802243,0.05440288970802243
23,4600,rician,64,0.98760825,5.391729793564617,9.69563022382813,8.936856357932692,5.691165238494102,,,200,5.368628819354016,5.368628819354016,5.3154117015818345,5.3154117015818345,0.05321711777218141,0.05321711777218141
24,4800,rician,64,0.9870693611111111,3.9711722038090325,9.235497361001714,7.750271076153708,4.5578196043529395,,,200,5.340141395449474,5.340141395449474,5.283845364197298,5.283845364197298,0.056296031252176526,0.056296031252176526
25,5000,rician,64,0.9865304722222222,4.263653216966443,8.467708635725888,7.056026502244573,4.536777919214351,,,200,5.230734603594621,5.230734603594621,5.25396266639798,5.25396266639798,0.02322806280335854,0.02322806280335854
26,5200,rician,64,0.9859915833333334,4.7038933605475854,8.112266406886528,5.341661422838876,5.069405434300915,,,200,5.25290781983235,5.25290781983235,5.2468643113173234,5.2468643113173234,0.006043508515026552,0.006043508515026552
