episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
15,3000,rayleigh,64,6.2033519746242085,7.847494141591592,1.274740801457638,6.602504440173757,,,200,6.320661919173819,6.320661919173819,6.320661919173819,6.320661919173819,0.0,0.0
16,3200,rayleigh,64,5.691084283536779,8.764751986005242,1.7160891045192377,7.048662881486004,,,200,6.36616197931833,6.36616197931833,6.36616197931833,6.36616197931833,0.0,0.0
17,3400,rayleigh,64,5.545926746385146,7.492285244593977,1.4294277108264228,6.062857533767556,,,200,6.348320541344755,6.348320541344755,6.348320541344755,6.348320541344755,0.0,0.0
18,3600,rayleigh,64,8.306416540836096,9.086765398347932,0.4245436066803669,8.662221791667575,,,200,6.4768706108071346,6.4768706108071346,6.4768706108071346,6.4768706108071346,0.0,0.0
19,3800,rayleigh,64,7.876354093508622,9.287088064212888,1.0844718457467803,8.209205778112251,,,200,6.568046145928456,6.568046145928456,6.568046145928456,6.568046145928456,0.0,0.0
20,4000,rayleigh,64,5.25634944745762,7.700488087087798,2.084135986216169,5.625895280058814,,,200,6.520938602634975,6.520938602634975,6.520938602634975,6.520938602634975,0.0,0.0
21,4200,rayleigh,64,5.388827583782762,9.19284721891617,3.4455707121458876,5.767924647054774,,,200,6.530468262708515,6.530468262708515,6.485080795226393,6.485080795226393,0.04538746748212219,0.04538746748212219
22,4400,rayleigh,64,4.216768275864699,7.511969814154427,1.9998004466271855,5.51768749580347,,,200,6.480680220400076,6.480680220400076,6.441108372525352,6.441108372525352,0.039571847874724675,0.039571847874724675
23,4600,rayleigh,64,4.895902048293003,8.848588101172362,2.857775906148946,6.007793104819882,,,200,6.438076670524742,6.438076670524742,6.422268578277288,6.422268578277288,0.015808092247453942,0.015808092247453942
24,4800,rayleigh,64,6.684272780212722,7.586374218450436,0.3201848795953404,7.266189338855092,,,200,6.494645070492747,6.494645070492747,6.457431943301363,6.457431943301363,0.03721312719138403,0.03721312719138403
25,5000,rayleigh,64,5.791202854148424,9.425399847920053,2.8979697402379716,6.5669533482715,,,200,6.491007815997764,6.491007815997764,6.461812799500169,6.461812799500169,0.029195016497594928,0.029195016497594928
26,5200,rayleigh,64,6.155767759249093,7.990687918950171,1.440065559602847,6.58391294231556,,,200,6.664284469919875,6.664284469919875,6.466508958839222,6.466508958839222,0.1977755110806525,0.1977755110806525
27,5400,rayleigh,64,6.593423322514908,7.656672068134137,0.679008832403156,6.977663235730971,,,200,6.680079096008252,6.680079096008252,6.485440598724102,6.485440598724102,0.19463849728415017,0.19463849728415017
28,5600,rayleigh,64,6.317322418043989,7.506715020894709,0.21929676374039575,7.287418257154313,,,200,6.666187513129555,6.666187513129555,6.514082657953752,6.514082657953752,0.15210485517580263,0.15210485517580263
29,5800,rayleigh,64,6.496885488422436,7.740834635880012,0.8342572414110371,6.907774363244422,,,200,6.700337709508726,6.700337709508726,6.527658233998258,6.527658233998258,0.17267947551046792,0.17267947551046792
30,6000,rayleigh,64,6.672332935751203,9.771302607534173,2.6690717917934403,7.121895113494101,,,200,6.761564628325901,6.761564628325901,6.547466129981453,6.547466129981453,0.21409849834444827,0.21409849834444827
31,6200,rayleigh,64,6.886398708673093,9.09001382239058,1.7711510863106525,7.323138584896768,,,200,6.82780684966946,6.82780684966946,6.572487822075495,6.572487822075495,0.2553190275939645,0.2553190275939645
32,6400,rayleigh,64,5.895409474404144,7.474605086832412,1.2090030349714895,6.276629090863907,,,200,6.796854540182896,6.796854540182896,6.563242236725133,6.563242236725133,0.23361230345776374,0.23361230345776374
